# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# initial state
0 0:00 EnvTemperature 22
0 0:00 User Nobody
0 0:00 BodyTemperature 0
0 0:00 HeartRate 0

0 0:00 PeopleQuantity 0
0 0:00 ACTemperature 0
0 0:00 EXP_ACTemperature 0

###Normal week###
### Monday ###

0 08:00 EnvTemperature 22
0 08:00 User Guilherme
0 08:00 BodyTemperature 36
0 08:00 HeartRate 78
0 08:01 PeopleQuantity 1
0 08:01 ACTemperature 24
0 08:01 EXP_ACTemperature 24

0 08:30 User Nobody
0 08:30 BodyTemperature 0
0 08:30 HeartRate 0
0 08:30 PeopleQuantity 0
0 08:30 ACTemperature 0
0 08:30 EXP_ACTemperature 0


0 18:00 EnvTemperature 24
0 18:00 User Guilherme
0 18:00 BodyTemperature 36
0 18:00 HeartRate 76
0 18:01 PeopleQuantity 1
0 18:01 ACTemperature 24
0 18:01 EXP_ACTemperature 24


0 18:30 User Nobody
0 18:30 BodyTemperature 0
0 18:30 HeartRate 0
0 18:30 PeopleQuantity 0
0 18:30 ACTemperature 0
0 18:30 EXP_ACTemperature 0

### Tuesday ###

1 08:00 BEGIN_EXPECTATIONS
1 08:00 EnvTemperature 22
1 08:00 User Guilherme
1 08:00 BodyTemperature 36
1 08:00 HeartRate 67
1 08:01 PeopleQuantity 1
1 08:01 ACTemperature 24
1 08:01 EXP_ACTemperature 24
1 08:01 END_EXPECTATIONS

1 08:30 BEGIN_EXPECTATIONS
1 08:30 User Nobody
1 08:30 BodyTemperature 0
1 08:30 HeartRate 0
1 08:30 PeopleQuantity 0
1 08:30 ACTemperature 0
1 08:30 EXP_ACTemperature 0
1 08:31 END_EXPECTATIONS

1 18:00 BEGIN_EXPECTATIONS
1 18:00 EnvTemperature 24
