# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

#Initial Scenario
# Verify if sml is able to learn a different scenario for each day of week,
# independent of other inputs
#Week 0 - Learn
0 0:00 in i0

0 0:00 out o0
1 0:00 out o1
2 0:00 out o2

#Week 2 - Test
7 0:00 BEGIN_EXPECTATIONS
7 0:00 out o3
7 0:00 EXP_out o0
7 0:00 END_EXPECTATIONS
7 0:01 out o0

8 0:00 BEGIN_EXPECTATIONS
8 0:00 out o3
8 0:00 EXP_out o1
8 0:00 END_EXPECTATIONS
8 0:01 out o1

9 0:00 BEGIN_EXPECTATIONS
9 0:00 out o3
9 0:00 EXP_out o2
9 0:00 END_EXPECTATIONS
9 0:01 out o2
