# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.


#### Week 0 ####
### Monday ###
0 0:00 Temperature 24
0 0:00 WaterVolume 0
0 0:00 Light 10
0 0:00 EXP_WaterVolume 0
0 0:00 Moisture 30
0 0:00 Fertilizer 1.8

0 1:00 Temperature 24
0 1:00 WaterVolume 40
0 1:00 Light 11
0 1:00 EXP_WaterVolume 40
0 1:00 Moisture 25
0 1:00 Fertilizer 2.0

0 2:00 Temperature 24
0 2:00 WaterVolume 40
0 2:00 Light 13
0 2:00 EXP_WaterVolume 40
0 2:00 Moisture 28
0 2:00 Fertilizer 2.8

0 3:00 Temperature 24
0 3:00 WaterVolume 40
0 3:00 Light 15
0 3:00 EXP_WaterVolume 40
0 3:00 Moisture 27
0 3:00 Fertilizer 1.9

0 4:00 Temperature 25
0 4:00 WaterVolume 40
0 4:00 Light 20
0 4:00 EXP_WaterVolume 40
0 4:00 Moisture 28
0 4:00 Fertilizer 2.8

0 5:00 Temperature 25
0 5:00 WaterVolume 40
0 5:00 Light 25
0 5:00 EXP_WaterVolume 40
0 5:00 Moisture 27
0 5:00 Fertilizer 1.3

0 6:00 Temperature 26
0 6:00 WaterVolume 40
0 6:00 Light 40
0 6:00 EXP_WaterVolume 40
0 6:00 Moisture 27
0 6:00 Fertilizer 2.5

0 7:00 Temperature 26
0 7:00 WaterVolume 0
0 7:00 Light 45
0 7:00 EXP_WaterVolume 0
0 7:00 Moisture 30
0 7:00 Fertilizer 2.0

0 8:00 Temperature 26
0 8:00 WaterVolume 40
0 8:00 Light 50
0 8:00 EXP_WaterVolume 40
0 8:00 Moisture 25
0 8:00 Fertilizer 2.3

0 9:00 Temperature 26
0 9:00 WaterVolume 40
0 9:00 Light 50
0 9:00 EXP_WaterVolume 40
0 9:00 Moisture 26
0 9:00 Fertilizer 2.1

0 10:00 Temperature 26
0 10:00 WaterVolume 40
0 10:00 Light 50
0 10:00 EXP_WaterVolume 40
0 10:00 Moisture 28
0 10:00 Fertilizer 2.6

0 11:00 Temperature 27
0 11:00 WaterVolume 40
0 11:00 Light 60
0 11:00 EXP_WaterVolume 40
0 11:00 Moisture 29
0 11:00 Fertilizer 1.6

0 12:00 Temperature 28
0 12:00 WaterVolume 0
0 12:00 Light 80
0 12:00 EXP_WaterVolume 0
0 12:00 Moisture 33
0 12:00 Fertilizer 1.8

0 13:00 Temperature 27
0 13:00 WaterVolume 0
0 13:00 Light 70
0 13:00 EXP_WaterVolume 0
0 13:00 Moisture 32
0 13:00 Fertilizer 2.4

0 14:00 Temperature 27
