# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# initial state
0 0:00 EnvTemperature 16
0 0:00 User Nobody
0 0:00 BodyTemperature 35
0 0:00 HeartRate 0

0 0:00 WaterVolume 0
0 0:00 EXP_WaterVolume 0
0 0:00 WaterTemperature 22
0 0:00 EXP_WaterTemperature 22

### Monday ###

# Bruno take shower every
# weekday when he wakes up
0 07:30 EnvTemperature 22
0 07:45 User Bruno
0 07:46 HeartRate Awake
0 07:46 BodyTemperature 37.4

0 07:47 WaterVolume 60
0 07:47 WaterTemperature 55
0 07:47 EXP_WaterVolume 60
0 07:47 EXP_WaterTemperature 55

0 08:00 EnvTemperature 25

0 08:10 WaterVolume 0
0 08:10 WaterTemperature 22
0 08:10 EXP_WaterVolume 0
0 08:10 EXP_WaterTemperature 22
0 08:10 User Nobody

# Guilherme take shower every day
# after workout
0 09:05 User Guilherme
0 09:05 HeartRate Aerobic
0 09:05 BodyTemperature 37.6

0 09:05 WaterVolume 90
0 09:05 WaterTemperature 28
0 09:05 EXP_WaterVolume 90
0 09:05 EXP_WaterTemperature 28

0 09:15 WaterVolume 0
0 09:15 WaterTemperature 25
0 09:15 EXP_WaterVolume 0
0 09:15 EXP_WaterTemperature 25
0 09:15 User Nobody

0 12:00 EnvTemperature 32

0 21:00 EnvTemperature 17

# Otavio takes shower some days at night.
# On Mon, Wed, Fri, after workouts
0 21:12 User Otavio
0 21:12 HeartRate Anaerobic
0 21:12 BodyTemperature 36.5

0 21:15 WaterVolume 90
0 21:15 WaterTemperature 24
0 21:15 EXP_WaterVolume 90
0 21:15 EXP_WaterTemperature 24

0 21:45 WaterVolume 0
0 21:45 WaterTemperature 17
0 21:45 EXP_WaterVolume 0
0 21:45 EXP_WaterTemperature 17
0 21:45 User Nobody

### Tuesday ###

1 07:12 EnvTemperature 18
1 07:35 User Bruno
1 07:36 HeartRate Awake
1 07:36 BodyTemperature 37.2

1 07:37 WaterVolume 65
1 07:37 WaterTemperature 60
1 07:37 EXP_WaterVolume 65
1 07:37 EXP_WaterTemperature 60

1 07:51 WaterVolume 0
1 07:51 WaterTemperature 18
1 07:51 EXP_WaterVolume 0
1 07:51 EXP_WaterTemperature 18
1 07:51 User Nobody

1 08:30 EnvTemperature 23

1 09:20 User Guilherme
1 09:20 HeartRate WeightControl
1 09:20 BodyTemperature 37.3

1 09:05 WaterVolume 90
1 09:05 WaterTemperature 25
1 09:05 EXP_WaterVolume 90
1 09:05 EXP_WaterTemperature 25

1 09:15 WaterVolume 0
1 09:15 WaterTemperature 23
1 09:15 EXP_WaterVolume 0
1 09:15 EXP_WaterTemperature 23
1 09:15 User Nobody

1 13:14 EnvTemperature 29

1 21:15 EnvTemperature 18

### Wednesday ###

2 07:12 EnvTemperature 14
2 08:03 User Bruno
2 08:03 HeartRate Awake
2 08:03 BodyTemperature 37.3

2 08:03 WaterVolume 52
2 08:03 WaterTemperature 63
2 08:03 EXP_WaterVolume 52
2 08:03 EXP_WaterTemperature 63

2 08:10 WaterVolume 0
2 08:10 WaterTemperature 14
2 08:10 EXP_WaterVolume 0
2 08:10 EXP_WaterTemperature 14
2 08:10 User Nobody

2 08:30 EnvTemperature 20

2 09:20 User Guilherme
2 09:20 HeartRate Aerobic
2 09:20 BodyTemperature 37.2

2 09:20 WaterVolume 90
2 09:20 WaterTemperature 24
2 09:20 EXP_WaterVolume 90
2 09:20 EXP_WaterTemperature 24

2 09:43 WaterVolume 0
2 09:43 WaterTemperature 20
2 09:43 EXP_WaterVolume 0
2 09:43 EXP_WaterTemperature 20
2 09:43 User Nobody

2 12:00 EnvTemperature 23

2 21:00 EnvTemperature 25

2 21:50 User Otavio
2 21:50 HeartRate Anaerobic
2 21:50 BodyTemperature 36.8

2 21:52 WaterVolume 86
2 21:52 WaterTemperature 28
2 21:52 EXP_WaterVolume 86
2 21:52 EXP_WaterTemperature 28

2 21:45 WaterVolume 0
2 21:45 WaterTemperature 25
2 21:45 EXP_WaterVolume 0
2 21:45 EXP_WaterTemperature 25
2 21:45 User Nobody

### Thursday ###

3 08:30 EnvTemperature 25

