# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

# initial state
0 0:00 EnvTemperature 16
0 0:00 User Nobody
0 0:00 BodyTemperature 35
0 0:00 HeartRate 0

0 0:00 WaterVolume 0
0 0:00 EXP_WaterVolume 0
0 0:00 WaterTemperature 22
0 0:00 EXP_WaterTemperature 22

### Monday ###

# Bruno take shower every
# weekday when he wakes up
0 07:30 EnvTemperature 22
0 07:45 User Bruno
0 07:46 HeartRate Awake
0 07:46 BodyTemperature 37.4

0 07:47 WaterVolume 60
0 07:47 WaterTemperature 55
0 07:47 EXP_WaterVolume 60
0 07:47 EXP_WaterTemperature 55

0 08:00 EnvTemperature 25

0 08:10 WaterVolume 0
0 08:10 WaterTemperature 22
0 08:10 EXP_WaterVolume 0
0 08:10 EXP_WaterTemperature 22
0 08:10 User Nobody

0 12:00 EnvTemperature 32

0 21:00 EnvTemperature 17

### Tuesday ###

1 07:12 EnvTemperature 18
1 07:35 User Bruno
1 07:36 HeartRate Awake
1 07:36 BodyTemperature 37.2

1 07:37 WaterVolume 65
1 07:37 WaterTemperature 60
1 07:37 EXP_WaterVolume 65
1 07:37 EXP_WaterTemperature 60

1 07:51 WaterVolume 0
1 07:51 WaterTemperature 18
1 07:51 EXP_WaterVolume 0
1 07:51 EXP_WaterTemperature 18
1 07:51 User Nobody

1 08:30 EnvTemperature 23

1 13:14 EnvTemperature 29

1 21:15 EnvTemperature 18

### Wednesday ###

2 07:12 EnvTemperature 14
2 08:03 User Bruno
2 08:03 HeartRate Awake
2 08:03 BodyTemperature 37.3

2 08:03 WaterVolume 52
2 08:03 WaterTemperature 63
2 08:03 EXP_WaterVolume 52
2 08:03 EXP_WaterTemperature 63

2 08:10 WaterVolume 0
2 08:10 WaterTemperature 14
2 08:10 EXP_WaterVolume 0
2 08:10 EXP_WaterTemperature 14
2 08:10 User Nobody

2 08:30 EnvTemperature 20

2 12:00 EnvTemperature 23

2 21:00 EnvTemperature 25

### Thursday ###

3 08:30 EnvTemperature 25

3 10:03 User Bruno
3 10:03 HeartRate Awake
3 10:03 BodyTemperature 37.4

3 10:03 WaterVolume 66
3 10:03 WaterTemperature 63
3 10:03 EXP_WaterVolume 66
3 10:03 EXP_WaterTemperature 63

3 10:03 WaterTemperature 30
3 10:03 EXP_WaterTemperature 30

3 10:20 WaterVolume 0
3 10:20 WaterTemperature 14
3 10:20 EXP_WaterVolume 0
3 10:20 EXP_WaterTemperature 14
3 10:20 User Nobody

3 12:15 EnvTemperature 34

3 19:00 EnvTemperature 27

### Friday ###

4 07:12 EnvTemperature 8

4 08:12 User Bruno
4 08:12 HeartRate Awake
4 08:12 BodyTemperature 37.0

4 08:12 WaterVolume 60
4 08:12 WaterTemperature 80
4 08:12 EXP_WaterVolume 60
4 08:12 EXP_WaterTemperature 80

4 08:30 BEGIN_EXPECTATIONS off_state1
4 08:30 WaterVolume 0
4 08:30 WaterTemperature 8
4 08:30 EXP_WaterVolume 0
4 08:30 EXP_WaterTemperature nan
4 08:30 User Nobody

4 08:40 EnvTemperature 13

4 12:00 EnvTemperature 15

4 17:00 EnvTemperature 12

### Saturday ###

5 07:24 EnvTemperature 18
5 11:48 EnvTemperature 23
5 15:07 EnvTemperature 28
5 19:12 EnvTemperature 20
5 23:33 EnvTemperature 12

### Sunday ###

6 08:19 EnvTemperature 20
6 13:10 EnvTemperature 31
6 16:22 EnvTemperature 27
6 21:00 EnvTemperature 21

### Monday ###

7 07:30 EnvTemperature 22
7 07:40 END_EXPECTATIONS #off_state1

7 07:45 WaterVolume nan
7 07:45 WaterTemperature nan
7 07:45 User Bruno
7 07:46 HeartRate Awake
7 07:46 BodyTemperature 37.4

7 07:47 BEGIN_EXPECTATIONS shower1
7 07:47 EXP_WaterVolume 60
7 07:47 EXP_WaterTemperature 55
7 07:47 END_EXPECTATIONS #shower1

7 08:00 EnvTemperature 25

7 08:10 EXP_WaterVolume 0
7 08:10 EXP_WaterTemperature nan
7 08:10 User Nobody

7 08:10 BEGIN_EXPECTATIONS off_state2

7 12:00 EnvTemperature 32

