# This file is part of the Soletta Project
#
# Copyright (C) 2015 Intel Corporation. All rights reserved.
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.

#Mon
0 0:00 EnvLight Night
0 0:00 Light ON
0 0:00 EXP_Light ON

0 7:23 EnvLight PartlySunny
0 7:23 Light OFF
0 7:23 EXP_Light OFF

0 9:00 EnvLight Cloudy
0 9:00 Light ON
0 9:00 EXP_Light ON

0 13:00 EnvLight PartlyCloudy
0 13:00 Light OFF
0 13:00 EXP_Light OFF

0 20:00 EnvLight Night
0 20:00 EXP_Light ON
0 20:00 Light ON

#Tue
1 7:23 EnvLight PartlySunny
1 7:23 Light OFF
1 7:23 EXP_Light OFF

1 9:00 EnvLight Cloudy
1 9:00 Light ON
1 9:00 EXP_Light ON

1 13:00 EnvLight PartlyCloudy
1 13:00 Light OFF
1 13:00 EXP_Light OFF

1 20:00 EnvLight Night
1 20:00 EXP_Light ON
1 20:00 Light ON

#Wed
2 0:00 EnvLight Night
2 0:00 Light ON
2 0:00 EXP_Light ON

2 7:23 EnvLight PartlySunny
2 7:23 Light OFF
2 7:23 EXP_Light OFF

2 9:00 EnvLight Sunny
2 9:00 Light OFF
2 9:00 EXP_Light OFF

2 13:00 EnvLight PartlyCloudy
2 13:00 Light OFF
2 13:00 EXP_Light OFF

2 20:00 EnvLight Night
2 20:00 EXP_Light ON
2 20:00 Light ON

#Thu
3 0:00 EnvLight Night
3 0:00 Light ON
3 0:00 EXP_Light ON

3 7:23 EnvLight PartlySunny
3 7:23 Light OFF
3 7:23 EXP_Light OFF

3 9:00 EnvLight Sunny
3 9:00 Light OFF
3 9:00 EXP_Light OFF

3 13:00 EnvLight PartlyCloudy
3 13:00 Light OFF
3 13:00 EXP_Light OFF

3 20:00 EnvLight Night
3 20:00 EXP_Light ON
3 20:00 Light ON

#Fri
4 0:00 EnvLight Night
4 0:00 Light ON
4 0:00 EXP_Light ON

4 7:23 EnvLight PartlySunny
4 7:23 Light OFF
4 7:23 EXP_Light OFF

4 9:00 EnvLight Sunny
4 9:00 Light OFF
4 9:00 EXP_Light OFF

4 13:00 EnvLight PartlyCloudy
4 13:00 Light OFF
4 13:00 EXP_Light OFF

4 20:00 EnvLight Night
4 20:00 EXP_Light ON
4 20:00 Light ON

#Sat
5 0:00 EnvLight Night
5 0:00 Light ON
5 0:00 EXP_Light ON

5 7:23 EnvLight PartlySunny
5 7:23 Light OFF
5 7:23 EXP_Light OFF

5 9:00 EnvLight Cloudy
5 9:00 Light ON
5 9:00 EXP_Light ON

5 13:00 EnvLight PartlyCloudy
5 13:00 Light OFF
5 13:00 EXP_Light OFF

5 20:00 EnvLight Night
5 20:00 EXP_Light ON
5 20:00 Light ON

#Sun
6 0:00 EnvLight Night
6 0:00 Light ON
6 0:00 EXP_Light ON

6 7:23 EnvLight PartlySunny
6 7:23 Light OFF
6 7:23 EXP_Light OFF

6 9:00 EnvLight Sunny
6 9:00 Light OFF
6 9:00 EXP_Light OFF

6 13:00 EnvLight PartlyCloudy
6 13:00 Light OFF
6 13:00 EXP_Light OFF

6 20:00 EnvLight Night
6 20:00 EXP_Light ON
6 20:00 Light ON

#Mon
7 0:00 EnvLight Night
7 0:00 Light ON
7 0:00 EXP_Light ON

7 7:23 EnvLight PartlySunny
7 7:23 Light OFF
7 7:23 EXP_Light OFF

7 9:00 EnvLight Cloudy
7 9:00 Light ON
7 9:00 EXP_Light ON

7 13:00 EnvLight PartlyCloudy
7 13:00 Light OFF
7 13:00 EXP_Light OFF

7 20:00 EnvLight Night
7 20:00 EXP_Light ON
7 20:00 Light ON

#Tue
8 7:23 EnvLight PartlySunny
8 7:23 Light OFF
8 7:23 EXP_Light OFF

8 9:00 EnvLight Cloudy
8 9:00 Light ON
8 9:00 EXP_Light ON

8 13:00 EnvLight PartlyCloudy
8 13:00 Light OFF
8 13:00 EXP_Light OFF

8 20:00 EnvLight Night
8 20:00 EXP_Light ON
8 20:00 Light ON

#Wed
9 0:00 EnvLight Night
9 0:00 Light ON
9 0:00 EXP_Light ON

9 7:23 EnvLight PartlySunny
9 7:23 Light OFF
9 7:23 EXP_Light OFF

9 9:00 EnvLight Sunny
9 9:00 Light OFF
9 9:00 EXP_Light OFF

9 13:00 EnvLight PartlyCloudy
9 13:00 Light OFF
9 13:00 EXP_Light OFF

9 20:00 EnvLight Night
9 20:00 EXP_Light ON
9 20:00 Light ON

#Thu
10 0:00 EnvLight Night
10 0:00 Light ON
10 0:00 EXP_Light ON

10 7:23 EnvLight PartlySunny
10 7:23 Light OFF
10 7:23 EXP_Light OFF

10 9:00 EnvLight Sunny
10 9:00 Light OFF
10 9:00 EXP_Light OFF

10 13:00 EnvLight PartlyCloudy
10 13:00 Light OFF
10 13:00 EXP_Light OFF

10 20:00 EnvLight Night
10 20:00 EXP_Light ON
10 20:00 Light ON

#Fri
11 0:00 EnvLight Night
11 0:00 Light ON
11 0:00 EXP_Light ON

11 7:23 EnvLight PartlySunny
11 7:23 Light OFF
11 7:23 EXP_Light OFF

11 9:00 EnvLight Sunny
11 9:00 Light OFF
11 9:00 EXP_Light OFF

11 13:00 EnvLight PartlyCloudy
11 13:00 Light OFF
11 13:00 EXP_Light OFF

11 20:00 EnvLight Night
11 20:00 EXP_Light ON
11 20:00 Light ON

#Sat
12 0:00 EnvLight Night
12 0:00 Light ON
12 0:00 EXP_Light ON

12 7:23 EnvLight PartlySunny
12 7:23 Light OFF
12 7:23 EXP_Light OFF

12 9:00 EnvLight Cloudy
12 9:00 Light ON
12 9:00 EXP_Light ON

12 13:00 EnvLight PartlyCloudy
12 13:00 Light OFF
12 13:00 EXP_Light OFF

12 20:00 EnvLight Night
12 20:00 EXP_Light ON
12 20:00 Light ON

#Sun
13 0:00 BEGIN_EXPECTATIONS regular_day1
13 0:00 Light nan
13 0:00 EnvLight Night
13 0:00 EXP_Light ON

13 7:23 EnvLight PartlySunny
13 7:23 EXP_Light OFF

13 9:00 EnvLight Sunny
13 9:00 EXP_Light OFF

13 13:00 EnvLight PartlyCloudy
13 13:00 EXP_Light OFF

13 20:00 EnvLight Night
13 20:00 EXP_Light ON
13 23:59 END_EXPECTATIONS

#VACATION

#Mon
14 0:00 BEGIN_EXPECTATIONS vacation_day1
14 0:00 EnvLight Night
14 0:00 Light OFF
14 0:00 EXP_Light OFF

14 7:23 EnvLight PartlySunny
14 7:23 Light OFF
14 7:23 EXP_Light OFF

14 9:00 EnvLight Cloudy
14 9:00 Light OFF
14 9:00 EXP_Light OFF

14 13:00 EnvLight PartlyCloudy
14 13:00 Light OFF
14 13:00 EXP_Light OFF

14 20:00 EnvLight Night
14 20:00 EXP_Light OFF
14 20:00 Light OFF
14 23:59 END_EXPECTATIONS

#Tue
15 0:00 BEGIN_EXPECTATIONS vacation_day2
15 7:23 EnvLight PartlySunny
15 7:23 Light OFF
15 7:23 EXP_Light OFF

15 9:00 EnvLight Cloudy
15 9:00 Light OFF
15 9:00 EXP_Light OFF

15 13:00 EnvLight PartlyCloudy
15 13:00 Light OFF
15 13:00 EXP_Light OFF

15 20:00 EnvLight Night
15 20:00 EXP_Light OFF
15 20:00 Light OFF
15 23:59 END_EXPECTATIONS

#Wed
16 0:00 EnvLight Night
16 0:00 Light OFF
16 0:00 EXP_Light OFF

16 7:23 EnvLight PartlySunny
16 7:23 Light OFF
16 7:23 EXP_Light OFF

16 9:00 EnvLight Sunny
16 9:00 Light OFF
16 9:00 EXP_Light OFF

16 13:00 EnvLight PartlyCloudy
16 13:00 Light OFF
16 13:00 EXP_Light OFF

16 20:00 EnvLight Night
16 20:00 EXP_Light OFF
16 20:00 Light OFF

#Thu
17 0:00 EnvLight Night
17 0:00 Light OFF
17 0:00 EXP_Light OFF

17 7:23 EnvLight PartlySunny
17 7:23 Light OFF
17 7:23 EXP_Light OFF

17 9:00 EnvLight Sunny
17 9:00 Light OFF
17 9:00 EXP_Light OFF

17 13:00 EnvLight PartlyCloudy
17 13:00 Light OFF
17 13:00 EXP_Light OFF

17 20:00 EnvLight Night
17 20:00 EXP_Light OFF
17 20:00 Light OFF

#Fri
18 0:00 EnvLight Night
18 0:00 Light OFF
18 0:00 EXP_Light OFF

18 7:23 EnvLight PartlySunny
18 7:23 Light OFF
18 7:23 EXP_Light OFF

18 9:00 EnvLight Sunny
18 9:00 Light OFF
18 9:00 EXP_Light OFF

18 13:00 EnvLight PartlyCloudy
18 13:00 Light OFF
18 13:00 EXP_Light OFF

18 20:00 EnvLight Night
18 20:00 EXP_Light OFF
18 20:00 Light OFF

#Sat
19 0:00 EnvLight Night
19 0:00 Light OFF
19 0:00 EXP_Light OFF

19 7:23 EnvLight PartlySunny
19 7:23 Light OFF
19 7:23 EXP_Light OFF

19 9:00 EnvLight Cloudy
19 9:00 Light OFF
19 9:00 EXP_Light OFF

19 13:00 EnvLight PartlyCloudy
19 13:00 Light OFF
19 13:00 EXP_Light OFF

19 20:00 EnvLight Night
19 20:00 EXP_Light OFF
19 20:00 Light OFF

#Sun
20 0:00 EnvLight Night
20 0:00 Light OFF
20 0:00 EXP_Light OFF

20 7:23 EnvLight PartlySunny
20 7:23 Light OFF
20 7:23 EXP_Light OFF

20 9:00 EnvLight Sunny
20 9:00 Light OFF
20 9:00 EXP_Light OFF

20 13:00 EnvLight PartlyCloudy
20 13:00 Light OFF
20 13:00 EXP_Light OFF

20 20:00 EnvLight Night
20 20:00 Light OFF
20 20:00 Light OFF

#Mon
21 0:00 EnvLight Night
21 0:00 Light OFF
21 0:00 EXP_Light OFF

21 7:23 EnvLight PartlySunny
21 7:23 Light OFF
21 7:23 EXP_Light OFF

21 9:00 EnvLight Cloudy
21 9:00 Light OFF
21 9:00 EXP_Light OFF

21 13:00 EnvLight PartlyCloudy
21 13:00 Light OFF
21 13:00 EXP_Light OFF

21 20:00 EnvLight Night
21 20:00 EXP_Light OFF
21 20:00 Light OFF

#Tue
22 7:23 EnvLight PartlySunny
22 7:23 Light OFF
22 7:23 EXP_Light OFF

22 9:00 EnvLight Cloudy
22 9:00 Light OFF
22 9:00 EXP_Light OFF

22 13:00 EnvLight PartlyCloudy
22 13:00 Light OFF
22 13:00 EXP_Light OFF

22 20:00 EnvLight Night
22 20:00 EXP_Light OFF
22 20:00 Light OFF

#Wed
23 0:00 EnvLight Night
23 0:00 Light OFF
23 0:00 EXP_Light OFF

23 7:23 EnvLight PartlySunny
23 7:23 Light OFF
23 7:23 EXP_Light OFF

23 9:00 EnvLight Sunny
23 9:00 Light OFF
23 9:00 EXP_Light OFF

23 13:00 EnvLight PartlyCloudy
23 13:00 Light OFF
23 13:00 EXP_Light OFF

23 20:00 EnvLight Night
23 20:00 EXP_Light OFF
23 20:00 Light OFF

#Thu
24 0:00 EnvLight Night
24 0:00 Light OFF
24 0:00 EXP_Light OFF

24 7:23 EnvLight PartlySunny
24 7:23 Light OFF
24 7:23 EXP_Light OFF

24 9:00 EnvLight Sunny
24 9:00 Light OFF
24 9:00 EXP_Light OFF

24 13:00 EnvLight PartlyCloudy
24 13:00 Light OFF
24 13:00 EXP_Light OFF

24 20:00 EnvLight Night
24 20:00 EXP_Light OFF
24 20:00 Light OFF

#Fri
25 0:00 EnvLight Night
25 0:00 Light OFF
25 0:00 EXP_Light OFF

25 7:23 EnvLight PartlySunny
25 7:23 Light OFF
25 7:23 EXP_Light OFF

25 9:00 EnvLight Sunny
25 9:00 Light OFF
25 9:00 EXP_Light OFF

25 13:00 EnvLight PartlyCloudy
25 13:00 Light OFF
25 13:00 EXP_Light OFF

25 20:00 EnvLight Night
25 20:00 EXP_Light OFF
25 20:00 Light OFF

#Sat
26 0:00 EnvLight Night
26 0:00 Light OFF
26 0:00 EXP_Light OFF

26 7:23 EnvLight PartlySunny
26 7:23 Light OFF
26 7:23 EXP_Light OFF

26 9:00 EnvLight Cloudy
26 9:00 Light OFF
26 9:00 EXP_Light OFF

